age,sex,webhltbeh,wwwhr,happy,health,life
23.0,female,,,not too happy,good,
70.0,male,,,not too happy,fair,
48.0,female,,,pretty happy,excellent,
27.0,female,,,not too happy,good,
61.0,female,,,pretty happy,good,
26.0,male,,,pretty happy,good,
28.0,male,,,not too happy,excellent,
27.0,male,,,not too happy,good,
21.0,female,,,pretty happy,excellent,
30.0,female,,,pretty happy,fair,
30.0,female,,,pretty happy,good,
56.0,male,,,pretty happy,fair,
54.0,male,,,pretty happy,excellent,
49.0,female,,,not too happy,good,
41.0,male,,,very happy,excellent,
54.0,male,,,not too happy,good,
24.0,male,,,very happy,fair,
62.0,female,,,very happy,fair,
46.0,female,,,very happy,excellent,
21.0,female,,,very happy,good,
57.0,male,,,very happy,good,
58.0,male,,,very happy,good,
21.0,male,,,very happy,good,
26.0,female,,,very happy,good,
71.0,female,,,pretty happy,excellent,
53.0,female,,,very happy,excellent,
42.0,male,,,pretty happy,excellent,
42.0,female,,,pretty happy,good,
20.0,male,,,pretty happy,excellent,
23.0,male,,,pretty happy,fair,
26.0,male,,,pretty happy,good,
25.0,female,,,very happy,excellent,
26.0,male,,,pretty happy,excellent,
78.0,female,,,very happy,excellent,
21.0,male,,,very happy,good,
27.0,male,,,not too happy,excellent,
58.0,female,,,very happy,excellent,
35.0,female,,,pretty happy,good,
58.0,male,,,not too happy,fair,
51.0,female,,,pretty happy,good,
76.0,female,,,very happy,excellent,
53.0,male,,,not too happy,fair,
39.0,male,,,pretty happy,good,
64.0,female,,,very happy,good,
50.0,female,,,pretty happy,good,
27.0,female,,,very happy,excellent,
25.0,male,,,pretty happy,good,
49.0,male,,,pretty happy,good,
40.0,male,,,very happy,excellent,
43.0,male,,,pretty happy,good,
46.0,male,,,pretty happy,good,
37.0,male,,,very happy,good,
46.0,male,,,very happy,good,
22.0,female,,,very happy,excellent,
53.0,female,,,very happy,excellent,
35.0,male,,,pretty happy,excellent,
31.0,female,,,pretty happy,good,
30.0,female,,,pretty happy,good,
37.0,female,,,very happy,good,
57.0,female,,,very happy,good,
39.0,male,,,very happy,good,
62.0,female,,,pretty happy,fair,
51.0,male,,,pretty happy,fair,
43.0,male,,,pretty happy,excellent,
39.0,male,,,very happy,excellent,
52.0,female,,,pretty happy,poor,
30.0,male,,,pretty happy,excellent,
